2017-08-15 22:51:39.808 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.imooc.sell.dao.ProductCategoryDaoTest]: ProductCategoryDaoTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-08-15 22:51:39.814 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.imooc.sell.SellApplication for test class com.imooc.sell.dao.ProductCategoryDaoTest
2017-08-15 22:51:39.818 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-08-15 22:51:39.822 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@245b4bdc, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6c64cb25, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6ae5aa72, org.springframework.test.context.support.DirtiesContextTestExecutionListener@222545dc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5c5eefef, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@16293aa2, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5158b42f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@595b007d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@72d1ad2e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2d7275fc, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@399f45b1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@38c6f217]
2017-08-15 22:51:39.824 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.imooc.sell.dao.ProductInfoDaoTest], using SpringBootContextLoader
2017-08-15 22:51:39.826 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.imooc.sell.dao.ProductInfoDaoTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-08-15 22:51:39.826 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.imooc.sell.dao.ProductInfoDaoTest]: ProductInfoDaoTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-08-15 22:51:39.831 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.imooc.sell.SellApplication for test class com.imooc.sell.dao.ProductInfoDaoTest
2017-08-15 22:51:39.835 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-08-15 22:51:39.839 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@313ac989, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4562e04d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2a65fe7c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4135c3b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6302bbb1, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@31304f14, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@34a3d150, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2a4fb17b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5c6648b0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6f1de4c7, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@459e9125, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@128d2484]
